seed	k	lambda	beneficio	tiempo (ms)
182	25	0,001	1304570	417.0
182	25	0,0001	1309882	158.0
182	25	0,00001	1304645	154.0
182	125	0,001	1304552	119.0
182	125	0,0001	1304423	150.0
182	125	0,00001	1304293	114.0
182	625	0,001	1304413	100.0
182	625	0,0001	1303597	123.0
182	625	0,00001	1304120	136.0
483	25	0,001	1340992	401.0
483	25	0,0001	1318570	276.0
483	25	0,00001	1327737	182.0
483	125	0,001	1321999	201.0
483	125	0,0001	1318965	161.0
483	125	0,00001	1324618	160.0
483	625	0,001	1314368	190.0
483	625	0,0001	1314513	140.0
483	625	0,00001	1318383	153.0
218	25	0,001	1284990	410.0
218	25	0,0001	1285534	170.0
218	25	0,00001	1285414	194.0
218	125	0,001	1297162	156.0
218	125	0,0001	1290745	185.0
218	125	0,00001	1290223	123.0
218	625	0,001	1284792	129.0
218	625	0,0001	1291433	177.0
218	625	0,00001	1290270	132.0
205	25	0,001	1315845	394.0
205	25	0,0001	1314392	233.0
205	25	0,00001	1321218	167.0
205	125	0,001	1322368	206.0
205	125	0,0001	1327036	171.0
205	125	0,00001	1326569	170.0
205	625	0,001	1324640	177.0
205	625	0,0001	1318102	160.0
205	625	0,00001	1323031	149.0
460	25	0,001	1369882	365.0
460	25	0,0001	1371125	225.0
460	25	0,00001	1365391	207.0
460	125	0,001	1369928	161.0
460	125	0,0001	1371113	192.0
460	125	0,00001	1360753	147.0
460	625	0,001	1364075	201.0
460	625	0,0001	1368060	151.0
460	625	0,00001	1365784	148.0
461	25	0,001	1381136	388.0
461	25	0,0001	1376190	188.0
461	25	0,00001	1381924	175.0
461	125	0,001	1381580	133.0
461	125	0,0001	1377263	139.0
461	125	0,00001	1381726	110.0
461	625	0,001	1381909	125.0
461	625	0,0001	1386993	181.0
461	625	0,00001	1375476	117.0
44	25	0,001	1396241	370.0
44	25	0,0001	1385672	176.0
44	25	0,00001	1385512	149.0
44	125	0,001	1385226	127.0
44	125	0,0001	1384923	165.0
44	125	0,00001	1385082	110.0
44	625	0,001	1395588	120.0
44	625	0,0001	1384908	164.0
44	625	0,00001	1391105	120.0
