seed	k	lambda	beneficio	tiempo (ms)
265	1	1	1092066	52.0
265	1	0,01	1324342	258.0
265	1	0,0001	1329537	187.0
265	5	1	1084635	5.0
265	5	0,01	1326678	144.0
265	5	0,0001	1334832	155.0
265	25	1	1085331	1.0
265	25	0,01	1337428	93.0
265	25	0,0001	1338094	173.0
265	125	1	1083019	1.0
265	125	0,01	1333778	96.0
265	125	0,0001	1346556	128.0
60	1	1	1227475	24.0
60	1	0,01	1387030	243.0
60	1	0,0001	1387089	206.0
60	5	1	1228796	1.0
60	5	0,01	1386763	157.0
60	5	0,0001	1387546	139.0
60	25	1	1215585	1.0
60	25	0,01	1387015	109.0
60	25	0,0001	1388091	143.0
60	125	1	1214597	0.0
60	125	0,01	1387033	83.0
60	125	0,0001	1388025	111.0
367	1	1	1031559	29.0
367	1	0,01	1256369	267.0
367	1	0,0001	1260779	219.0
367	5	1	1028722	1.0
367	5	0,01	1262839	166.0
367	5	0,0001	1273828	181.0
367	25	1	1033737	1.0
367	25	0,01	1258474	125.0
367	25	0,0001	1273676	136.0
367	125	1	1027862	1.0
367	125	0,01	1255871	104.0
367	125	0,0001	1273546	160.0
66	1	1	1073986	32.0
66	1	0,01	1326338	246.0
66	1	0,0001	1326164	202.0
66	5	1	1077296	1.0
66	5	0,01	1330371	180.0
66	5	0,0001	1327246	139.0
66	25	1	1074272	2.0
66	25	0,01	1325187	125.0
66	25	0,0001	1332626	120.0
66	125	1	1073340	1.0
66	125	0,01	1325609	85.0
66	125	0,0001	1326545	130.0
87	1	1	1201072	25.0
87	1	0,01	1296962	257.0
87	1	0,0001	1298424	189.0
87	5	1	1199833	3.0
87	5	0,01	1297013	173.0
87	5	0,0001	1297645	172.0
87	25	1	1200611	1.0
87	25	0,01	1297709	162.0
87	25	0,0001	1298835	144.0
87	125	1	1200466	2.0
87	125	0,01	1296220	87.0
87	125	0,0001	1297236	134.0
