seed	steps	beneficioSA	beneficioHC	tiempoSA (ms)	tiempoHC (ms)
130	5000	1126706	1167764	28	20347
130	10000	1134236	1167764	22	20752
130	50000	1197548	1167764	173	19809
130	80000	1205881	1167764	420	20199
130	100000	1244236	1167764	322	19539
130	150000	1226241	1167764	912	21076
247	5000	1134148	1275817	30	32427
247	10000	1159757	1275817	24	31974
247	50000	1259257	1275817	94	31210
247	80000	1281929	1275817	131	32664
247	100000	1292827	1275817	182	32016
247	150000	1312001	1275817	249	31852
17	5000	1150257	1370028	66	83264
17	10000	1194257	1370028	62	86379
17	50000	1333289	1370028	118	85166
17	80000	1352064	1370028	124	83985
17	100000	1356309	1370028	126	86074
17	150000	1356625	1370028	198	87462
192	5000	1230894	1377336	65	39943
192	10000	1266531	1377336	17	39945
192	50000	1362647	1377336	87	39632
192	80000	1389297	1377336	109	39083
192	100000	1389921	1377336	126	39785
192	150000	1391601	1377336	210	39980
317	5000	1044405	1040091	104	12098
317	10000	1082214	1040091	29	10984
317	50000	1143560	1040091	153	11265
317	80000	1161517	1040091	383	11375
317	100000	1173734	1040091	366	10967
317	150000	1154938	1040091	1973	12063
35	5000	1148403	1273134	91	27323
35	10000	1186053	1273134	23	27010
35	50000	1286620	1273134	114	26980
35	80000	1298167	1273134	162	27167
35	100000	1312410	1273134	204	27184
35	150000	1339341	1273134	326	27086
