seed	steps	beneficioSA	beneficioHC	tiempoSA (ms)	tiempoHC (ms)
5	10000	1205785	1274120	99	23057
5	16000	1215065	1274120	29	22587
5	32000	1270557	1274120	58	22417
5	128000	1312965	1274120	220	22367
5	256000	1318508	1274120	530	22657
5	512000	1337790	1274120	1094	22524
146	10000	1247529	1349269	103	32153
146	16000	1271206	1349269	31	31493
146	32000	1308943	1349269	57	31519
146	128000	1355466	1349269	215	31650
146	256000	1363361	1349269	489	31753
146	512000	1366831	1349269	1510	32076
281	10000	1176600	1318360	128	28715
281	16000	1224886	1318360	29	28209
281	32000	1265359	1318360	59	28306
281	128000	1319199	1318360	228	28180
281	256000	1334488	1318360	505	28102
281	512000	1338515	1318360	2027	28114
327	10000	1135017	1198688	131	25673
327	16000	1166553	1198688	34	25384
327	32000	1209799	1198688	75	25303
327	128000	1238250	1198688	348	25529
327	256000	1240722	1198688	1844	25914
327	512000	1245173	1198688	2389	25591
146	10000	1251683	1330438	127	21868
146	16000	1281708	1330438	28	21413
146	32000	1341290	1330438	95	20917
146	128000	1359034	1330438	229	21212
146	256000	1368475	1330438	556	20883
146	512000	1378283	1330438	1129	20960
469	10000	1223175	1320700	114	31693
469	16000	1250500	1320700	30	32070
469	32000	1298486	1320700	56	32118
469	128000	1337995	1320700	175	31664
469	256000	1349048	1320700	401	31459
469	512000	1362821	1320700	944	31414
403	10000	1161495	1208686	136	28713
403	16000	1194327	1208686	32	28316
403	32000	1242471	1208686	63	28216
403	128000	1293687	1208686	256	28814
403	256000	1299311	1208686	566	28715
403	512000	1303412	1208686	1303	28503
380	10000	1212496	1295096	121	44455
380	16000	1249865	1295096	28	43697
380	32000	1282763	1295096	57	43524
380	128000	1302917	1295096	179	43688
380	256000	1296143	1295096	371	43987
380	512000	1296186	1295096	789	44414
139	10000	1214986	1255344	113	101381
139	16000	1225430	1255344	32	94185
139	32000	1243409	1255344	49	93149
139	128000	1253260	1255344	139	90622
139	256000	1249063	1255344	258	93575
139	512000	1255607	1255344	539	92547
338	10000	1240850	1311454	103	94282
338	16000	1278815	1311454	25	92704
338	32000	1292595	1311454	50	92580
338	128000	1300747	1311454	131	94117
338	256000	1300782	1311454	261	92749
338	512000	1307824	1311454	601	94057
