seed	stiter	beneficio	tiempo (ms)
235	50	1251148	493.0
235	100	1263372	310.0
235	200	1272448	219.0
235	250	1265709	242.0
235	500	1244237	232.0
235	1000	1255708	201.0
235	1500	1261910	207.0
235	2000	1245375	264.0
235	2500	1260999	251.0
479	50	1275332	576.0
479	100	1273560	277.0
479	200	1252905	211.0
479	250	1278236	237.0
479	500	1287435	186.0
479	1000	1275216	212.0
479	1500	1278781	172.0
479	2000	1289588	210.0
479	2500	1285032	177.0
150	50	1233985	467.0
150	100	1250436	313.0
150	200	1254991	265.0
150	250	1267574	230.0
150	500	1246638	178.0
150	1000	1242056	160.0
150	1500	1228717	220.0
150	2000	1242990	190.0
150	2500	1247236	173.0
180	50	1388816	375.0
180	100	1390084	211.0
180	200	1386672	181.0
180	250	1378628	170.0
180	500	1385959	138.0
180	1000	1387256	149.0
180	1500	1392615	159.0
180	2000	1384056	132.0
180	2500	1379147	134.0
481	50	1338912	360.0
481	100	1322776	213.0
481	200	1324286	191.0
481	250	1317260	143.0
481	500	1316972	155.0
481	1000	1316757	123.0
481	1500	1316830	142.0
481	2000	1317081	127.0
481	2500	1313364	110.0
255	50	1409032	391.0
255	100	1409090	268.0
255	200	1404125	229.0
255	250	1417921	189.0
255	500	1403590	166.0
255	1000	1414929	120.0
255	1500	1408384	127.0
255	2000	1402968	121.0
255	2500	1403387	126.0
