seed	N Clientes	BeneficioHC	tiempo (ms)	Sin Asignar
115	1000	1041688	32162	0
115	1500	1126202	46088	179
115	2000	1088227	52478	543
115	2500	938442	50452	1103
115	3000	772456	44044	1673
459	1000	1066021	34114	6
459	1500	1079796	44472	208
459	2000	1011584	38683	633
459	2500	860513	40747	1204
459	3000	703827	23072	1822
336	1000	974867	23102	26
336	1500	963616	36648	250
336	2000	890207	37881	734
336	2500	828040	43423	1248
336	3000	566406	18132	2017
104	1000	1109966	61163	0
104	1500	1183207	51750	178
104	2000	1080334	45808	527
104	2500	1030975	61458	968
104	3000	892652	60722	1552
281	1000	1051827	27650	13
281	1500	1111009	57427	189
281	2000	1045617	42416	517
281	2500	1020132	62838	974
281	3000	823614	46591	1631
465	1000	994133	38370	11
465	1500	986063	40476	216
465	2000	958229	41146	601
465	2500	841791	42192	1158
465	3000	750942	17910	1749
394	1000	985026	25810	22
394	1500	1071023	51958	200
394	2000	1037832	51874	538
394	2500	896640	41900	1066
394	3000	736194	37236	1719
340	1000	994578	35811	11
340	1500	951712	39023	247
340	2000	893147	37831	696
340	2500	732602	24730	1287
340	3000	577919	13308	1979
98	1000	959925	30531	35
98	1500	1036530	49037	219
98	2000	998342	46087	550
98	2500	848618	35712	1099
98	3000	739226	40534	1662
169	1000	981886	30019	27
169	1500	947054	35246	276
169	2000	934144	33354	714
169	2500	797515	30014	1310
169	3000	605845	14840	2069
