seed	Centrales C	Cent A HC	Cent B HC	Cent C HC	Beneficio HC	Tiempo HC
69	25	392	327	281	1286089	89628.0
69	50	346	252	402	1118743	135768.0
69	75	295	252	453	1009195	159773.0
284	25	431	354	215	1250932	79772.0
284	50	416	226	358	1128894	142640.0
284	75	327	172	501	1001194	181402.0
461	25	462	295	243	1384709	65380.0
461	50	398	278	324	1257635	116226.0
461	75	216	195	589	1046473	133504.0
72	25	427	290	283	1258877	93486.0
72	50	438	238	324	1119511	152396.0
72	75	396	150	454	1044575	220906.0
474	25	455	297	218	1233063	25104.0
474	50	388	201	411	1151044	92401.0
474	75	282	229	489	1058067	127834.0
228	25	404	311	285	1387814	74144.0
228	50	344	206	450	1174064	193640.0
228	75	319	130	551	1086060	237293.0
304	25	428	332	240	1382081	93060.0
304	50	306	304	390	1201984	125670.0
304	75	269	205	526	1051510	174330.0
402	25	446	323	231	1367256	77874.0
402	50	420	205	375	1209372	141069.0
402	75	276	229	495	1085742	168027.0
105	25	350	341	287	1287938	24716
105	50	315	259	426	1162048	120809
105	75	269	174	557	1013488	180715
8	25	359	277	310	1125709	12359
8	50	302	270	428	1122554	119533
8	75	359	183	458	1092882	192917
