seed	Centrales C	Cent A SA	Cent B SA	Cent C SA	Beneficio SA	Tiempo SA
69	25	377	349	274	1273868	163.0
69	50	356	253	391	1070036	56.0
69	75	268	237	495	954638	37.0
284	25	371	356	273	1239019	190.0
284	50	362	247	391	1084219	59.0
284	75	281	174	545	935126	40.0
461	25	424	315	261	1375154	157.0
461	50	382	265	353	1214479	51.0
461	75	215	201	584	1020453	39.0
72	25	368	321	310	1240271	175.0
72	50	353	294	353	1105791	62.0
72	75	402	152	446	982879	35.0
474	25	385	299	290	1244349	219.0
474	50	359	234	407	1109485	57.0
474	75	261	236	503	1001626	52.0
228	25	413	281	302	1352195	286.0
228	50	336	211	453	1137669	59.0
228	75	313	132	555	1057883	35.0
304	25	404	333	263	1364559	332.0
304	50	311	288	401	1170657	53.0
304	75	263	218	519	1017287	34.0
402	25	392	331	277	1357976	201
402	50	377	215	408	1145832	50
402	75	237	204	559	987206	49
105	25	384	312	277	1241534	203
105	50	298	246	456	1131556	66
105	75	264	164	572	964706	34
8	25	321	299	346	1205097	193
8	50	316	235	449	1086075	59
8	75	339	177	484	1026315	35
